Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,819,836,210,390 ",0.51%,28,7.45,39.15,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,247,935,398,436 ",0.76%,31.54,12.16,14.03,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,842,210,847,038 ",0.00%,11.42,7.15,3.45,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,842,210,847,038 ",0.00%,10.9,7.15,3.29,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,592,789,860,626 ",0.00%,48.22,3.39,11.64,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$926,364,027,430 ",0.00%,168.02,17.21,30.72,Analyze
BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$705,997,547,993 ",0.00%,4.79,2.04,0.87,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$662,375,000,000 ",0.06%,98.19,0,24.91,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$630,734,028,288 ",0.00%,12.7,5.35,4,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$502,115,280,000 ",0.61%,29.17,19.71,10.48,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$457,238,764,958 ",2.44%,9.85,3.76,1.56,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$450,421,523,288 ",1.17%,26.16,1.58,6.02,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$440,459,798,883 ",2.48%,21.08,4.7,6.26,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$391,117,375,889 ",1.62%,12.77,4.39,1.44,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$379,496,216,976 ",2.20%,26.35,4.84,8.57,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$372,726,048,401 ",1.63%,46.18,0.65,4.5,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$369,990,576,261 ",0.47%,42.75,19.59,50.3,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$368,887,931,667 ",1.86%,20.44,2.37,353.22,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$330,175,877,774 ",4.41%,14.4,1.18,2.07,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$281,688,400,886 ",0.00%,92.36,3.86,3.02,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$279,464,627,914 ",3.12%,12.69,3.43,3.68,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$263,095,886,575 ",2.73%,26.92,6.81,10.58,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$258,811,111,485 ",3.99%,16.57,1.64,1.86,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$255,816,330,012 ",3.61%,22.33,4.55,19.02,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$248,868,041,691 ",3.04%,38.31,9.07,9.87,Analyze
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$239,732,245,749 ",1.28%,16.03,4.19,1.27,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$233,255,489,109 ",1.44%,42.09,8.24,30.28,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$229,465,082,420 ",2.53%,30.18,2.89,14.24,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$228,889,507,740 ",2.70%,25.85,0,5.79,Analyze
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$228,535,853,729 ",0.77%,37.55,4.94,15.52,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$227,888,823,205 ",0.61%,43.99,1.15,12.94,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$226,490,733,658 ",0.00%,46.79,14.35,15.25,Analyze
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$223,995,870,604 ",5.87%,10.16,1.68,2.74,Analyze
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$219,354,748,590 ",0.19%,28.07,5.59,5.31,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$219,232,218,417 ",1.46%,30.93,5.09,6.35,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$217,367,914,898 ",2.07%,15.36,1.87,2.26,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$216,861,400,730 ",1.12%,35.45,4.04,10.49,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$213,021,557,190 ",1.60%,20.61,5.15,-20.94,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$211,036,250,000 ",0.00%,119.93,8.45,3.66,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$197,247,680,000 ",2.88%,9.88,2.5,2.06,Analyze
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$196,543,697,660 ",3.35%,14.95,3.92,5.45,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$194,639,105,209 ",1.56%,19.44,5.4,17.13,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$192,271,197,873 ",0.31%,30.51,6.53,4.23,Analyze
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$189,658,361,827 ",2.05%,25.07,8.17,-41.1,Analyze
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$187,799,544,000 ",1.86%,12.18,1.93,11.01,Analyze
MS,Morgan Stanley,Common stocks,Large cap,Financials,"$185,596,028,402 ",2.35%,12.46,3.29,1.71,Analyze
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$180,013,793,960 ",0.00%,34.37,6.06,11.1,Analyze
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$173,787,600,000 ",8.34%,8.6,1.03,1.03,Analyze
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$169,969,616,690 ",4.43%,19.02,5.41,-21.07,Analyze
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$168,440,725,463 ",0.82%,30.19,9.1,2.82,Analyze
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$158,791,647,959 ",1.71%,24.78,7.28,11.42,Analyze
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$158,697,302,857 ",0.00%,52.66,1.98,2.3,Analyze
LIN,Linde Plc,Common stocks,Large cap,Materials,"$154,740,273,289 ",1.40%,40.7,5.03,3.43,Analyze
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$153,681,733,811 ",1.31%,18.69,1.61,-97.05,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$153,465,815,293 ",2.59%,20.04,8.37,11.65,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"$150,337,101,712 ",0.87%,18.96,3.52,6.85,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$147,719,137,811 ",2.93%,21.07,3.18,4.09,Analyze
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$147,106,562,696 ",2.04%,41.31,8.62,3.97,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$145,679,386,670 ",0.00%,44.64,8.86,18.83,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$144,635,465,878 ",0.48%,71.49,14.02,15.37,Analyze
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$140,756,978,858 ",2.11%,36.7,2.19,1.94,Analyze
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$139,712,999,335 ",2.36%,29.48,4.39,2.67,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"$135,794,607,261 ",3.01%,6.54,1.9,0.67,Analyze
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$135,149,198,565 ",1.97%,17.25,0.46,1.81,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$134,511,467,255 ",0.00%,30.89,5.3,5.93,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$129,983,231,668 ",1.49%,23.4,3.78,6.74,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"$126,936,538,833 ",0.00%,-30.38,2.04,-8.51,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$126,137,766,094 ",3.19%,21.28,4.86,18.72,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$124,176,860,992 ",0.84%,26.31,0,10.53,Analyze
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$121,844,557,141 ",1.78%,5.7,2.09,1.1,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"$121,244,538,899 ",0.99%,20.18,2.78,6.53,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$118,676,179,501 ",2.10%,20.17,6.13,3.23,Analyze
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$118,332,000,000 ",0.00%,513.82,20.07,31.98,Analyze
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$118,283,155,033 ",1.96%,14.73,2.58,2.62,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$116,467,830,286 ",4.96%,20.16,1.65,6.1,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$111,205,003,170 ",0.71%,22.05,6.27,11.54,Analyze
GE,General Electric,Common stocks,Large cap,Industrials,"$110,943,564,331 ",0.32%,-16.49,1.5,2.77,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$110,032,930,856 ",2.13%,16.98,2.16,6.68,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$109,268,944,440 ",0.00%,23.48,2.11,7.78,Analyze
ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"$109,194,905,586 ",1.00%,18.23,0.79,3.09,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$108,714,853,000 ",2.44%,24.92,3.58,-12.95,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$108,208,853,133 ",0.00%,290.59,11.74,20.02,Analyze
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$107,758,800,000 ",1.72%,36.42,22.64,2.83,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$107,498,602,560 ",0.21%,14.61,3.63,2.34,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$106,289,002,743 ",2.22%,42.67,11.77,19.55,Analyze
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$104,088,797,274 ",2.74%,16.68,1.55,9.61,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$103,352,196,256 ",0.00%,49.56,18.1,8.74,Analyze
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$99,264,893,331 ",1.62%,14.68,0.96,7.21,Analyze
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$97,678,361,162 ",1.00%,49.15,5.71,6.59,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$93,565,362,559 ",0.54%,45.31,12.03,20.31,Analyze
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$92,874,170,000 ",1.00%,30.81,11.19,44.21,Analyze
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$92,437,277,523 ",6.90%,37.61,4.38,-57.89,Analyze
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$91,886,814,335 ",2.00%,21.32,3.2,3.24,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"$89,856,874,000 ",2.80%,15.01,2.54,5.88,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$87,720,461,672 ",1.55%,10.34,2.14,1.48,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$87,566,948,802 ",2.34%,16.26,4.58,1.58,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"$86,906,771,966 ",2.97%,11.43,3.83,1.58,Analyze
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$86,500,970,885 ",2.88%,14.32,3.89,1.25,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$85,838,181,004 ",1.50%,32.72,18.3,3.13,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$85,697,634,965 ",1.86%,31.27,5.53,16.99,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$82,837,974,916 ",0.94%,17.97,5.01,12.74,Analyze
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$82,177,392,563 ",1.50%,42.52,1.8,12.42,Analyze
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$77,521,634,649 ",1.34%,24.73,3.91,6.93,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$77,215,677,529 ",1.23%,46.07,3.87,3.2,Analyze
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$76,931,341,404 ",4.56%,12.47,2.82,3.69,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$76,631,326,850 ",1.08%,20.63,6.12,5.78,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$76,395,223,481 ",2.93%,20.02,3.04,1.5,Analyze
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$75,701,418,088 ",1.74%,9.05,0.44,1.6,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$75,388,816,492 ",0.79%,11.27,1.28,-84,Analyze
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$72,171,569,809 ",0.00%,7.45,0.57,1.23,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$71,572,857,869 ",3.26%,64.94,11.29,8.62,Analyze
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$71,204,620,948 ",0.81%,38.34,3.57,29.33,Analyze
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$71,115,790,206 ",1.10%,3.95,0.52,1.46,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$70,355,146,258 ",1.05%,17.41,7.67,3.11,Analyze
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$69,878,890,849 ",1.59%,22.08,6.27,4.86,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$69,257,425,641 ",0.00%,45.96,13.24,11.84,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"$68,908,451,594 ",3.01%,22.95,3.07,2.37,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$68,762,565,576 ",2.13%,25.56,4.76,19,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$67,627,088,796 ",1.38%,5.65,2.23,1.11,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$66,619,291,010 ",0.00%,8.26,4.15,3.55,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$66,231,050,139 ",2.27%,30.48,3.8,108.42,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$64,886,478,893 ",1.75%,21.68,3.9,3,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$64,128,238,444 ",0.69%,15.09,2.81,4.65,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$64,088,713,251 ",0.00%,47.91,3.95,2.07,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$63,494,997,368 ",0.58%,23.52,7.21,3.61,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$63,199,454,117 ",3.18%,19.16,4.53,2.36,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$62,713,918,913 ",0.00%,63.99,5.28,3.83,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$62,688,976,155 ",0.72%,50.04,5.14,59.19,Analyze
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$62,629,187,009 ",1.51%,485.36,0,1.29,Analyze
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$61,994,258,000 ",1.94%,29.19,3.16,3.81,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$61,888,031,733 ",1.79%,18.67,1.3,3.4,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"$61,652,909,750 ",2.25%,40.29,18.97,6.84,Analyze
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$61,313,538,000 ",0.75%,27.76,9.86,21.08,Analyze
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$61,271,532,520 ",0.00%,8.72,5.18,6.08,Analyze
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$61,048,936,397 ",1.25%,12.36,0.68,2.43,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$60,631,943,256 ",1.70%,160.91,0,5.57,Analyze
MET,Metlife Inc,Common stocks,Large cap,Financials,"$60,201,835,013 ",2.65%,9.47,0.9,0.89,Analyze
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$60,063,341,145 ",1.60%,8.77,1.68,4.75,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$59,685,377,817 ",1.60%,32.84,3.33,8.37,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$59,420,745,446 ",0.00%,25.63,7.85,5.94,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$59,085,796,439 ",2.22%,18.28,1.54,3.38,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$59,013,777,720 ",0.00%,54.31,6.08,42.21,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$58,402,195,413 ",1.27%,19.46,7.15,14.36,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$56,444,112,000 ",2.13%,20.71,3.04,5.56,Analyze
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$56,231,540,373 ",1.24%,31.09,2.45,3.9,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$54,948,220,020 ",2.40%,24.98,5.02,3.93,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$54,254,324,231 ",0.66%,18.79,0.65,3.43,Analyze
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$53,509,224,585 ",1.45%,41.02,3.74,2.34,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$53,473,356,000 ",0.00%,68.57,11.82,4.86,Analyze
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$52,715,602,292 ",0.00%,86.32,15.78,65.64,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$52,513,459,008 ",1.06%,46.39,4.22,7.56,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$52,287,795,418 ",1.14%,28.38,4.73,8.13,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$51,390,844,750 ",2.12%,14.54,3.29,1.18,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$51,337,396,059 ",0.00%,38.98,12.18,40.17,Analyze
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$50,461,706,037 ",3.43%,25.18,4.13,2.26,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$50,133,369,571 ",2.10%,9.01,1.05,0.77,Analyze
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$49,060,926,523 ",0.00%,10.16,0.39,1.82,Analyze
XLNX,Xilinx Inc,Common stocks,Large cap,Information Technology,"$48,414,617,600 ",0.76%,52.12,13.17,13.18,Analyze
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$48,291,113,406 ",1.33%,19.98,3.17,4.43,Analyze
MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$48,268,230,067 ",2.92%,4.93,0.4,1.7,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$47,579,543,617 ",1.69%,30.27,1.97,2.75,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$46,975,146,566 ",0.00%,79.09,0,8.73,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$46,778,919,430 ",1.07%,21.98,2.53,3.92,Analyze
ROP,Roper Technologies Inc,Common stocks,Large cap,Industrials,"$46,592,067,856 ",0.52%,40.7,7.65,4.06,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$46,439,329,555 ",4.08%,21.05,9.08,12.27,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$46,144,350,272 ",0.84%,18.71,1.36,7.39,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$45,998,574,566 ",0.82%,28.97,4.23,7.25,Analyze
INFO,IHS Markit Ltd,Common stocks,Large cap,Industrials,"$45,982,820,495 ",0.73%,36.16,9.87,4.6,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$45,513,321,359 ",4.45%,7.23,0.83,2.51,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$45,464,246,485 ",0.00%,21.12,3.41,-688.2,Analyze
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$44,604,000,000 ",3.88%,5.81,0.65,0.72,Analyze
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$44,403,316,384 ",0.66%,60.85,21.73,"-270,247,695.61",Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$44,314,619,213 ",3.42%,24.34,2.28,59.91,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$44,038,025,756 ",0.00%,"1,117.32",9.1,-38.63,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$43,925,782,197 ",0.00%,67.63,5.82,19.22,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$43,802,135,940 ",0.00%,28.82,8.25,7.05,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$43,679,271,509 ",0.00%,68.45,0,7.34,Analyze
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$43,330,522,069 ",2.18%,33.85,10,13.88,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$43,318,510,519 ",0.00%,57.83,13.47,62.43,Analyze
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$43,242,562,532 ",2.19%,55.85,0.71,35.93,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$43,031,999,283 ",3.51%,18.04,2.63,1.93,Analyze
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$42,981,593,353 ",4.04%,40.59,3.53,1.76,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$42,965,088,768 ",1.95%,15.88,0.5,1.91,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$42,854,351,615 ",1.26%,35.11,3.44,4.86,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$42,708,261,819 ",2.13%,9.87,1.94,1.28,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$42,597,586,436 ",1.69%,31.83,5.82,1.16,Analyze
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$42,588,775,792 ",1.87%,23.56,2.39,2.25,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$42,449,792,547 ",4.54%,19.48,1.62,0.89,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$42,227,848,960 ",1.67%,19.94,4.71,10.69,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$42,215,090,689 ",2.02%,11.64,1.21,1.47,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$41,889,154,218 ",1.46%,6.51,2.52,1.56,Analyze
GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$41,764,335,084 ",0.62%,43.36,4.9,1.62,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$41,696,038,904 ",3.86%,6.43,0.31,1.57,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$41,688,184,860 ",0.72%,43.56,6.47,7.23,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$41,653,345,169 ",0.00%,53.76,10.54,11.46,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$41,539,083,931 ",1.38%,45.25,4.79,3.23,Analyze
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$41,029,775,734 ",0.65%,29.26,0.16,-32.43,Analyze
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$40,822,758,010 ",0.58%,33.55,6.46,7.53,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$40,814,735,228 ",2.58%,24.53,1.17,1.21,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$40,525,872,851 ",0.00%,259.53,16.55,17.84,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$40,481,985,870 ",0.00%,58.32,13.61,15.36,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$40,461,342,030 ",2.21%,6.31,0.64,-24.86,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$40,414,848,900 ",3.02%,18,2.17,4.11,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$39,904,858,424 ",0.00%,17.42,2.64,-18.72,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$39,646,260,639 ",1.11%,23.77,1.92,5.58,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$39,357,838,400 ",1.34%,21.95,2.57,4.55,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$39,184,980,584 ",0.95%,34.14,5.27,11.02,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$38,957,844,394 ",1.20%,3,3.52,3.42,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$38,848,535,645 ",0.00%,75.08,2.49,4.74,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$38,745,501,368 ",3.36%,57.18,8.85,2.21,Analyze
PSX,Phillips 66,Common stocks,Large cap,Energy,"$38,736,826,139 ",4.02%,29.49,0.35,2.13,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$38,569,912,315 ",6.20%,21.77,2.32,1.26,Analyze
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$37,866,865,940 ",0.00%,21.69,7.08,2.31,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$37,824,395,046 ",0.50%,58.57,5.81,4.92,Analyze
