Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$18,596,639,966 ",0.00%,3.59,6.36,1.11,Analyze
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$18,527,907,133 ",2.14%,-9.6,1.13,0.87,Analyze
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$18,423,228,832 ",0.65%,30.63,3.61,18.72,Analyze
GPC,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"$18,373,829,709 ",2.50%,22.74,1,5.81,Analyze
OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$18,369,307,471 ",3.19%,13.54,1.29,4.86,Analyze
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$18,321,562,415 ",0.00%,14.75,0.62,3.47,Analyze
EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$18,200,746,636 ",1.08%,15.66,1.26,5.32,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"$18,096,807,887 ",4.06%,10.29,0.83,1.99,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$18,040,145,073 ",0.00%,28.19,5.3,3.72,Analyze
CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$17,995,499,697 ",0.00%,-16.02,2.15,3.73,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$17,921,672,390 ",2.82%,13.31,2.42,1.93,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$17,877,118,445 ",3.96%,18.75,1.32,3.99,Analyze
CTLT,Catalent Inc,Common stocks,Large cap,Health Care,"$17,853,103,965 ",0.00%,31.9,3.98,3.99,Analyze
HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"$17,653,878,272 ",0.00%,10.35,3.21,3.93,Analyze
NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$17,630,292,208 ",0.00%,14.4,1.97,5.93,Analyze
CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$17,525,144,942 ",3.19%,70.28,2.48,55.46,Analyze
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$17,482,711,173 ",0.00%,8.85,0.92,1.47,Analyze
GNRC,Generac Holdings Inc,Common stocks,Large cap,Industrials,"$17,456,995,529 ",0.00%,37.48,5.09,11.2,Analyze
MOS,Mosaic,Common stocks,Large cap,Materials,"$17,272,749,392 ",0.60%,9.78,1.57,1.68,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$17,239,134,952 ",1.64%,31.58,3.21,9.75,Analyze
PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$17,230,766,858 ",4.61%,34.38,9.09,2.45,Analyze
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$17,158,933,472 ",0.00%,34.94,4.69,4.36,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$17,102,096,478 ",1.28%,8.92,2,3.72,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$16,990,893,632 ",3.40%,15.43,1.51,1.96,Analyze
NLOK,NortonLifeLock Inc.,Common stocks,Large cap,Information Technology,"$16,961,257,099 ",1.70%,23.7,0,-171.23,Analyze
UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$16,931,046,114 ",2.62%,116.79,13.12,4.9,Analyze
CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"$16,803,292,412 ",2.40%,18.76,2.08,1.91,Analyze
DISH,Dish Network Corp Class A,Common stocks,Large cap,Communication Services,"$16,773,916,515 ",0.00%,3.54,0.93,0.61,Analyze
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$16,763,449,496 ",0.40%,48.58,0,1.74,Analyze
EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$16,623,540,498 ",2.27%,19.49,1.59,2.73,Analyze
XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$16,360,911,929 ",1.23%,38.29,3.15,5.07,Analyze
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$16,335,977,223 ",0.00%,-8.27,0.66,3.23,Analyze
TECH,Bio-Techne Corp,Common stocks,Large cap,Health Care,"$16,216,226,839 ",0.31%,76.86,15.75,9.51,Analyze
DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$16,083,889,226 ",1.89%,8.12,1.49,2.49,Analyze
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$15,997,036,123 ",0.46%,15.65,1.24,2.75,Analyze
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$15,997,026,841 ",0.68%,52.98,1.14,2.58,Analyze
MRO,Marathon Oil Corp,Common stocks,Large cap,Energy,"$15,991,147,864 ",1.07%,-400.1,3.41,1.52,Analyze
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$15,917,069,958 ",0.56%,15.71,1.68,2.41,Analyze
CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$15,776,685,059 ",0.00%,38.85,4.6,6.35,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$15,719,087,664 ",0.87%,31.12,3.6,-3.82,Analyze
CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$15,663,533,520 ",1.17%,810.66,0.84,1.32,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$15,601,004,673 ",3.59%,8.21,1.8,1.36,Analyze
TXT,Textron Inc,Common stocks,Large cap,Industrials,"$15,548,794,807 ",0.11%,21.33,1.24,2.34,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$15,489,416,277 ",1.65%,17.41,2.37,4.98,Analyze
FDS,Factset Research Systems Inc,Common stocks,Large cap,Financials,"$15,421,240,872 ",0.79%,38.38,9.47,14.18,Analyze
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$15,387,956,400 ",1.15%,44.02,8.33,14.27,Analyze
DISCA,Discovery Communications Inc Series A,Common stocks,Large cap,Communication Services,"$15,384,245,420 ",0.00%,4.01,1.29,0.43,Analyze
DISCK,"Discovery Communications, Inc. - Series C",Common stocks,Large cap,Communication Services,"$15,384,245,420 ",0.00%,7.8,1.29,0.83,Analyze
TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"$15,358,116,858 ",0.41%,35.34,5.57,4.19,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$15,281,580,754 ",1.44%,20.66,1.82,7.95,Analyze
L,Loews Corp,Common stocks,Large cap,Financials,"$15,252,040,122 ",0.41%,9.76,1.31,0.8,Analyze
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$14,948,357,190 ",0.17%,59.63,4.04,4.35,Analyze
PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"$14,939,624,515 ",0.24%,27.66,1.25,3.29,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$14,939,450,258 ",0.00%,15.83,5,3.98,Analyze
FMC,FMC Corp,Common stocks,Large cap,Materials,"$14,928,791,081 ",1.66%,20.58,2.96,4.97,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$14,831,096,314 ",3.61%,27.23,0.09,15.08,Analyze
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$14,747,150,065 ",2.81%,19.14,1.87,1.77,Analyze
QRVO,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"$14,646,944,175 ",0.00%,13.25,3.22,3.18,Analyze
KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$14,627,837,816 ",2.83%,18.3,10.72,1.51,Analyze
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$14,542,544,049 ",1.13%,32.14,5.26,5.15,Analyze
MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$14,520,032,269 ",0.70%,55.26,20.77,13.69,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$14,374,350,153 ",2.80%,26.98,1.32,4.19,Analyze
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$14,301,191,043 ",2.94%,15.13,1.4,4.54,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$14,292,168,192 ",2.41%,20.61,4.12,1.73,Analyze
BBWI,"Bath & Body Works, Inc.",Common stocks,Large cap,Consumer Discretionary,"$14,270,118,634 ",1.03%,8.94,1.11,-8.53,Analyze
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$14,102,030,186 ",2.87%,22.21,3.96,2.36,Analyze
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$14,065,282,722 ",2.67%,16.9,1.82,3.91,Analyze
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$14,026,446,159 ",3.52%,16,2.52,1.51,Analyze
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$13,922,920,694 ",1.21%,34.34,1.66,251.41,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,Consumer Discretionary,"$13,880,262,400 ",1.45%,22.51,1.26,4.43,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$13,868,786,140 ",0.00%,66.72,13.83,10.34,Analyze
SEDG,SolarEdge Technologies Inc,Common stocks,Large cap,Information Technology,"$13,768,517,101 ",0.00%,96.03,7.78,11.28,Analyze
NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"$13,691,312,570 ",0.85%,9.59,1.36,0.57,Analyze
NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"$13,691,312,570 ",0.86%,18.66,1.36,1.1,Analyze
RHI,Robert Half,Common stocks,Large cap,Industrials,"$13,623,231,403 ",1.23%,23.02,2.11,9.98,Analyze
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$13,366,741,153 ",0.00%,-41.66,0,2.25,Analyze
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$13,343,095,910 ",0.00%,27.06,7.27,6.92,Analyze
