Name,symbol,AssetType,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Valuation
HP Inc,HPQ,Common Stock,"HP Inc. is an American multinational information technology company headquartered in Palo Alto, California, that develops personal computers (PCs), printers and related supplies, as well as 3D printing solutions.",47217,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER ST, MS 1050, PALO ALTO, CA, US",October,2022-01-31,37499970000,6584000000,6.4,4.891,-0.763,0.831,0.0281,5.57,56.07,0.101,0.0895,0.0985,0.0,64868999000.0,13417000000.0,5.57,0.193,0.088,37.63,6.4,9.05,0.578,-,0.721,5.42,0.996,40.37,25.75,36.54,32.61,1053370000.0,2022-04-06,2022-03-08,38490139800.0
Arista Networks Inc,ANET,Common Stock,"Arista Networks (formerly Arastra) is an American computer networking company headquartered in Santa Clara, California. The company designs and sells multilayer network switches to deliver software-defined networking (SDN) solutions for large datacenter, cloud computing, high-performance computing, and high-frequency trading environments.",1596532,NYSE,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"5453 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",December,2021-12-31,42862203000,975073000,53.03,2.072,12.93,0,0,2.63,9.62,0.285,0.314,0.11,0.23,2948037000.0,1880779000.0,2.63,0.284,0.271,151.18,53.03,39.06,14.54,10.89,13.56,41.0,1.2,148.57,75.65,125.33,111.5,307300000.0,None,None,38513909000.0
Datadog Inc,DDOG,Common Stock,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",December,2021-12-31,48185188000,734000,None,None,3.323,0,0,-0.07,3.329,-0.0202,-0.0186,-0.0056,-0.0208,1028784000.0,794884000.0,-0.07,0.0,0.837,206.76,-,312.5,46.84,46.85,46.69,1878.83,1.11,199.68,69.73,147.21,145.57,264289000.0,None,None,38905983690.0
Carrier Global Corporation,CARR,Common Stock,"Carrier Global Corporation is an American multinational home appliances corporation based in Palm Beach Gardens, Florida.",1783180,NYSE,USD,USA,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,"13995 PASTEUR BOULEVARD, PALM BEACH GARDENS, FL, US",December,2021-12-31,39272444000,2906000000,24.62,1.868,7.84,0.51,0.0131,1.87,23.76,0.0807,0.125,0.0626,0.249,20612999000.0,6008000000.0,1.87,-0.629,0.117,56,24.62,20.92,1.905,6.06,2.341,15.78,0.894,58.59,41.57,45.88,51.43,853007000.0,2022-02-10,2021-12-22,39135961160.0
CrowdStrike Holdings Inc,CRWD,Common Stock,"CrowdStrike Holdings, Inc. provides cloud solutions for endpoint and cloud workload protection in the United States, Australia, Germany, India, Israel, Romania, and the United Kingdom. The company is headquartered in Sunnyvale, California.",1535527,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"150 MATHILDA PLACE, SUITE 300, SUNNYVALE, CA, US",January,2022-01-31,52580491000,-131359000,None,5.29,4.446,0,0,-1.034,6.39,-0.162,-0.0939,-0.0268,-0.243,1451594000.0,1068373000.0,-1.034,0.0,0.627,265.13,-,204.08,36.22,50.17,34.61,-,1.38,298.48,150.02,187.76,230.75,210058000.0,None,None,39440490080.0
Wipro Limited,WIT,Common Stock,"Wipro Limited is a global information technology (IT), consulting and business process services company. The company is headquartered in Bengaluru, India.",1123799,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"SURVEY #76P & #80P DODDAKANAHALLI VILLAG, VARTHUR HOBLI SARJAPUR RD BANGALORE, KARNATAKA, IN",March,2021-12-31,43310891000,159693996000,27.11,1.311,119.64,1,0.01,0.291,135.98,0.163,0.182,0.0877,0.205,744788001000.0,196225000000.0,0.291,0.048,0.296,7.5,27.11,23.42,0.0582,5.13,0.0547,0.262,0.713,9.94,6.08,7.57,8.54,5466320000.0,2022-02-17,2022-04-05,41380042400.0
Atlassian Corporation Plc,TEAM,Common Stock,"Atlassian Corporation Plc designs, develops, licenses and maintains various software products worldwide. The company is headquartered in Sydney, Australia.",1650372,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1098 HARRISON STREET, SAN FRANCISCO, CA, US",June,2021-12-31,77503652000,73480000,None,6.26,0.488,0,0,-2.109,9.66,-0.218,0.0174,0.0084,-3.626,2430817000.0,1754821000.0,-2.109,1.722,0.373,422,-,172.41,31.88,639.0,32.64,-,0.95,483.13,207.83,295.78,341.5,141154000.0,None,None,41750530119.99999
Cadence Design Systems Inc,CDNS,Common Stock,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",December,2021-12-31,46107419000,920349000,66.25,2.986,9.9,0,0,2.5,10.93,0.233,0.26,0.117,0.266,2988244000.0,2681238000.0,2.5,0.033,0.017,184.56,66.25,44.25,15.43,16.86,15.25,49.74,1.123,192.7,118.11,150.33,158.99,278376000.0,None,None,41848264080.0
Workday Inc,WDAY,Common Stock,"Workday, Inc. provides business applications in the cloud worldwide. The company is headquartered in Pleasanton, California.",1327811,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"6230 STONERIDGE MALL ROAD, SUITE 200, PLEASANTON, CA, US",January,2022-01-31,59720430000,227273000,2068.96,3.227,18.07,0,0,0.115,20.78,0.0057,-0.0227,-0.0076,0.0075,5138798000.0,3710703000.0,0.115,0.0,0.216,311.61,2068.96,67.57,11.62,13.63,11.73,160.08,1.371,307.81,205.9,234.61,253.97,196000000.0,None,None,45983560000.0
Cognizant Technology Solutions Corporation,CTSH,Common Stock,"Cognizant is an American multinational technology company that provides business consulting, information technology and outsourcing services. It is headquartered in Teaneck, New Jersey, United States.",1058290,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"500 FRANK W. BURR BLVD., TEANECK, NJ, US",December,2021-12-31,47213396000,3348000000,22.22,1.603,22.84,0.99,0.012,4.05,35.12,0.116,0.152,0.101,0.187,18507000000.0,6914000000.0,4.05,0.853,0.142,95.61,22.22,20.53,2.551,4.056,2.57,13.95,1.104,93.47,65.59,87.91,80.16,524535000.0,2022-03-01,2022-02-17,46111871850.0
